"2020WARN002R1","=""5059082179444""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - 1mm Plastic sign","Caution high winds take opening door safety sign - 1mm Plastic sign. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","1mm Plastic sign","Digitally printed and laminated for extra durability","Drill and screw in position or use double sided tape to mount onto suitable surface","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","1.49","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179444""","New","1","number of unit per package","2020WARN002R0","100mm x 150mm","Variation"
"2020WARN002R2","=""5059082179451""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - 1mm Plastic sign","Caution high winds take opening door safety sign - 1mm Plastic sign. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","1mm Plastic sign","Digitally printed and laminated for extra durability","Drill and screw in position or use double sided tape to mount onto suitable surface","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","2.19","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179451""","New","1","number of unit per package","2020WARN002R0","200mm x 150mm","Variation"
"2020WARN002R3","=""5059082179468""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - 1mm Plastic sign","Caution high winds take opening door safety sign - 1mm Plastic sign. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","1mm Plastic sign","Digitally printed and laminated for extra durability","Drill and screw in position or use double sided tape to mount onto suitable surface","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","3.99","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179468""","New","1","number of unit per package","2020WARN002R0","300mm x 200mm","Variation"
"2020WARN002R4","=""5059082179475""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - 1mm Plastic sign","Caution high winds take opening door safety sign - 1mm Plastic sign. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","1mm Plastic sign","Digitally printed and laminated for extra durability","Drill and screw in position or use double sided tape to mount onto suitable surface","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","7.49","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179475""","New","1","number of unit per package","2020WARN002R0","400mm x 300mm","Variation"
"2020WARN002R5","=""5059082179482""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - 1mm Plastic sign","Caution high winds take opening door safety sign - 1mm Plastic sign. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","1mm Plastic sign","Digitally printed and laminated for extra durability","Drill and screw in position or use double sided tape to mount onto suitable surface","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","14.29","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179482""","New","1","number of unit per package","2020WARN002R0","600mm x 400mm","Variation"
"2020WARN002D0","=""5059082179499""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - 3mm Aluminium sign","Caution high winds take opening door safety sign - 3mm Aluminium sign. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","3mm Aluminium sign","Digitally printed and laminated for extra durability","10mm Radius rounded corners - no sharp edges","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179499""","New","1","number of unit per package","","Size","Variation"
"2020WARN002D1","=""5059082179505""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - 3mm Aluminium sign","Caution high winds take opening door safety sign - 3mm Aluminium sign. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","3mm Aluminium sign","Digitally printed and laminated for extra durability","10mm Radius rounded corners - no sharp edges","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","7.89","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179505""","New","1","number of unit per package","2020WARN002D0","200mm x 150mm","Variation"
"2020WARN002D2","=""5059082179512""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - 3mm Aluminium sign","Caution high winds take opening door safety sign - 3mm Aluminium sign. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","3mm Aluminium sign","Digitally printed and laminated for extra durability","10mm Radius rounded corners - no sharp edges","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","9.89","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179512""","New","1","number of unit per package","2020WARN002D0","300mm x 200mm","Variation"
"2020WARN002D3","=""5059082179529""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - 3mm Aluminium sign","Caution high winds take opening door safety sign - 3mm Aluminium sign. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","3mm Aluminium sign","Digitally printed and laminated for extra durability","10mm Radius rounded corners - no sharp edges","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","18.99","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179529""","New","1","number of unit per package","2020WARN002D0","400mm x 300mm","Variation"
"2020WARN002D4","=""5059082179536""","EAN","KPCM Display ltd","Caution high winds take opening door safety sign - 3mm Aluminium sign","Caution high winds take opening door safety sign - 3mm Aluminium sign. All signs come with a 5 year warranty.","Caution high winds take opening door safety sign","3mm Aluminium sign","Digitally printed and laminated for extra durability","10mm Radius rounded corners - no sharp edges","https://cdn-images.imagevenue.com/d7/61/9a/ME14I39F_o.jpg","29.99","500","Great Britain","KPCM Display ltd","health and safety signs","=""5059082179536""","New","1","number of unit per package","2020WARN002D0","600mm x 400mm","Variation"
